ID_NUM,IND_ACCDA,IND_ACCIV,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,FECHA_ACCIDENTE,HORA_ACCIDENTE,MES_1F,ANYO,CCAA_1F,PROVINCIA_1F,COD_MUNICIPIO,CARRETERA,KM,SENTIDO_1F,TIPO_VIA_3F,TITULARIDAD_VIA_2F,TIPO_ANIMAL_1F,TIPO_ANIMAL_2F
202444266303,1,0,0,0,0,9/10/2024,21:30,10,2024,2,44,00000,N-234,"194,511",1,2,1,8,1
202444266304,1,0,0,0,0,20/10/2024,0:25,10,2024,2,44,00000,A-1507,6,1,2,2,5,1
202444266305,1,0,0,0,0,25/11/2024,21:29,11,2024,2,44,00000,N-234,185,1,2,1,8,1
202444266306,1,0,0,0,0,17/12/2024,7:00,12,2024,2,44,00000,A-1507,4,2,2,2,5,1
202444266307,1,0,0,0,0,20/1/2024,17:00,1,2024,2,44,00000,A-226,"140,3",2,2,2,8,1
202444266308,1,0,0,0,0,12/2/2024,19:25,2,2024,2,44,00000,A-226,"150,528",2,2,2,8,1
202444266309,1,0,0,0,0,28/2/2024,0:15,2,2024,2,44,00000,N-211,"222,683",2,2,2,8,1
202444266310,1,0,0,0,0,4/4/2024,13:00,4,2024,2,44,00000,N-211,"229,419",1,2,1,1,1
202444266311,1,0,0,0,0,12/7/2024,23:30,7,2024,2,44,00000,A-226,"153,904",1,2,2,8,1
202444266312,1,0,0,0,0,6/9/2024,15:30,9,2024,2,44,00000,A-226,"151,975",2,2,1,2,1
202444266313,1,0,0,0,0,14/10/2024,8:00,10,2024,2,44,44013,N-211,"234,9",1,2,1,5,1
202444266314,1,0,0,0,0,10/11/2024,19:50,11,2024,2,44,00000,N-211,"232,3",2,2,1,8,1
202444266315,1,0,0,0,0,17/11/2024,17:00,11,2024,2,44,00000,A-226,148,2,2,2,2,1
202444266316,1,0,0,0,0,6/12/2024,19:15,12,2024,2,44,00000,A-1407,"8,2",3,2,2,8,1
202444266317,1,0,0,0,0,17/12/2024,18:44,12,2024,2,44,00000,N-211,"222,608",1,2,1,8,1
